Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,C7498148
C1,0805,1,C_Small,C15850
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D3, D4, D5, D6, D7, D8, D9",0603,26,LED,C2286
"J1, J2",USB_C_Receptacle_JAE_DX07S024WJ3R400,2,USB C,C2840387
J3,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_B_Micro,C145794
J4,USB_B_3.0_C2763106,1,USB3_B,C2763106
J5,USB_Mini-B_Tensility_54-00023_Vertical,1,USB_B_Mini,C13453
J6,USB_A_3.0_HC-USB3.0-L137-ZP_C19273972,1,USB3_A,C19273972
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R7, R8, R9",0603,26,2.2k,C4190
SW1,SW_SPST_TS-1088-xR020,1,Battery,C720477
