Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-105.0,270.0,top
C1,94.5,-91.5,270.0,top
D1,77.5,-110.5,0.0,top
D10,77.5,-86.5,0.0,top
D11,77.5,-102.5,0.0,top
D12,121.0,-98.5,0.0,top
D13,77.5,-98.5,0.0,top
D14,121.0,-102.5,0.0,top
D15,77.5,-106.5,0.0,top
D16,121.0,-94.5,0.0,top
D17,121.0,-106.5,0.0,top
D18,77.5,-94.5,0.0,top
D19,121.0,-110.5,0.0,top
D2,77.5,-90.5,0.0,top
D20,121.0,-90.5,0.0,top
D21,63.5,-120.0,0.0,top
D22,121.0,-78.5,0.0,top
D23,121.0,-122.5,0.0,top
D24,77.5,-122.5,0.0,top
D25,77.5,-78.5,0.0,top
D26,106.25,-84.0,0.0,top
D3,77.5,-118.5,0.0,top
D4,77.5,-114.5,0.0,top
D5,121.0,-118.5,0.0,top
D6,121.0,-114.5,0.0,top
D7,121.0,-82.5,0.0,top
D8,121.0,-86.5,0.0,top
D9,77.5,-82.5,0.0,top
J1,138.5,-97.5,270.0,top
J2,63.5,-110.25,270.0,top
J3,138.6375,-120.5,90.0,top
J4,133.825,-82.0,90.0,top
J5,138.45,-109.75,90.0,top
J6,63.825,-91.75,270.0,top
R1,77.5,-109.0,0.0,top
R10,77.5,-85.0,0.0,top
R11,77.5,-101.0,0.0,top
R12,121.0,-97.0,0.0,top
R13,77.5,-97.0,0.0,top
R14,121.0,-101.0,0.0,top
R15,77.5,-105.0,0.0,top
R16,121.0,-93.0,0.0,top
R17,121.0,-105.0,0.0,top
R18,77.5,-93.0,0.0,top
R19,121.0,-109.0,0.0,top
R2,77.5,-89.0,0.0,top
R20,121.0,-89.0,0.0,top
R21,63.5,-118.5,0.0,top
R22,121.0,-77.0,0.0,top
R23,121.0,-121.0,0.0,top
R24,77.5,-121.0,0.0,top
R25,77.5,-77.0,0.0,top
R26,106.25,-82.5,0.0,top
R3,77.5,-117.0,0.0,top
R4,77.5,-113.0,0.0,top
R5,121.0,-117.0,0.0,top
R6,121.0,-113.0,0.0,top
R7,120.96,-81.0,0.0,top
R8,121.0,-85.0,0.0,top
R9,77.5,-81.0,0.0,top
SW1,95.0,-83.25,0.0,top
